Users,Option,1,2,3,4,5,6,7,8,9,10,Group
1,UTA 4,5,1,5,1,4,1,4,1,5,1,senior
2,UTA 4,4,1,4,1,4,2,5,2,5,1,intern
3,UTA 4,4,1,4,2,4,2,5,2,4,3,intern
4,UTA 4,5,1,5,1,5,1,5,1,5,4,intern
5,UTA 4,4,1,5,1,4,1,4,1,4,1,intern
6,UTA 4,5,1,5,1,5,1,5,1,5,1,intern
7,UTA 4,4,2,4,2,2,3,5,5,5,1,junior
8,UTA 4,3,1,5,4,5,1,5,1,4,3,senior
9,UTA 4,4,4,4,5,5,1,4,2,5,4,junior
10,UTA 4,5,1,5,1,5,1,4,1,4,5,senior
11,UTA 4,2,1,5,1,5,1,1,1,5,5,middle
12,UTA 4,3,1,5,1,5,1,5,1,5,1,middle
13,UTA 4,5,2,4,1,5,1,5,1,5,1,middle
14,UTA 4,5,1,5,1,4,1,4,1,5,1,middle
15,UTA 4,5,1,4,1,4,1,4,1,5,2,intern
16,UTA 4,3,1,5,1,5,1,5,1,5,1,intern
17,UTA 4,4,1,4,1,5,2,3,1,5,1,middle
18,UTA 4,4,1,5,1,5,1,5,1,5,1,intern
19,UTA 4,4,2,5,1,4,5,3,2,3,1,middle
20,UTA 4,1,2,5,1,5,1,4,1,4,2,senior
21,UTA 4,5,2,5,1,4,2,4,1,4,5,senior
22,UTA 4,4,3,4,1,5,3,5,1,5,1,middle
23,UTA 4,2,1,4,1,5,1,4,2,4,2,middle
24,UTA 4,5,1,5,1,5,1,5,1,5,1,middle
25,UTA 4,5,1,4,1,5,1,5,1,4,1,middle
26,UTA 4,5,1,5,1,5,1,5,1,5,1,middle
27,UTA 4,3,2,4,1,5,1,5,1,3,1,senior
28,UTA 4,3,1,3,1,5,5,5,1,5,1,junior
29,UTA 4,5,1,5,5,5,1,5,1,5,3,senior
30,UTA 4,5,1,5,1,5,1,5,1,5,5,middle
31,UTA 4,5,1,5,1,5,1,5,1,5,1,intern